angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9
3.0,3.0,3.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0
3.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0
3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0
1.0000000000000002,0.0,1.857142857142828,1.0,1.0,1.5714285714285983,3.0,2.0,2.0,4.0
0.0,1.0,2.0,0.0,1.0,1.0,4.0,1.3333333333333341,2.0,4.0
1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,4.0
0.0,1.0,4.0,0.0,3.666666666666661,3.0,2.0,0.0,4.0,4.0
0.0,4.0,0.0,2.0,2.0,0.0,3.0,4.0,1.0,2.0
3.0,2.476190476190617,0.0,0.0,2.0,2.0,3.0,2.0,1.0,1.124999999999996
4.0,3.0,4.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0
4.0,0.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0
0.0,4.0,3.0,1.0,1.0,0.7142857142857166,3.0,4.0,4.0,2.0
3.0,4.0,2.0,2.0,4.0,1.5714285714285663,3.0,2.0,1.0,0.0
3.0,0.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0
3.0,2.0,2.0,2.0,2.0,0.14285714285713255,3.0,1.0,1.0,2.0
0.0,4.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0
0.0,0.0,0.0,4.0,1.0,4.0,2.0,2.0,1.0,2.0
0.0,0.0,2.0,4.0,1.0,1.666666666666672,2.0,1.0000000000000326,1.0,2.0
0.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0
0.0,4.0,3.0,1.0,2.0,3.0,2.8000000000000034,1.0,1.0,1.1052631578947414
0.0,0.5714285714286067,4.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0
0.0,3.0,2.6666666666666665,4.0,1.0,2.0,1.0,2.0,2.8333333333333144,2.0
4.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0
3.0,4.0,4.0,1.0,2.0,3.0,3.0,0.9999999999999996,1.0,2.0
3.0,2.0,4.0,0.0,2.0,1.6666666666666559,1.2500000000000044,2.0,3.0,1.0
4.0,3.0,4.0,4.0,1.0,4.0,2.0,0.0,1.0,1.6842105263158291
0.0,0.0,0.0,4.0,3.0,2.428571428571479,0.16666666666666963,3.0,2.0,4.0
0.0,4.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0
0.0,0.0,2.0,0.0,3.0,3.0,2.0,0.0,0.0,1.4210526315789596
0.3478260869565337,3.571428571428598,2.0,2.285714285714295,0.0,1.5238095238095666,0.0,3.0,0.0,2.0
4.0,0.0,2.0,4.0,3.0,3.0,0.0,3.0,2.0,2.0
4.0,0.0,0.7368421052631611,0.0,3.0,0.0,0.0,3.0,0.0,0.0
4.0,0.0,0.0,2.0,4.0,0.0,0.0,3.0,0.0,4.0
4.0,3.0,2.210526315789486,2.0,3.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,4.0,4.0,1.2,3.0,0.0,3.0,0.0,1.0
0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,4.0
0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0
0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
0.0,0.0,0.10526315789472927,0.0,3.0,3.0,0.0,3.0,0.0,2.0
0.4999999999999736,4.0,3.0,1.0,0.0,1.4117647058823444,1.0,4.0,1.3333333333333333,4.0
2.0,0.0,2.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0
2.0,0.0,3.894736842105245,0.0,3.0,0.0,0.0,2.0,0.0,4.0
3.0,0.0,3.0,3.0,0.0,4.0,2.0,2.0,3.0000000000000933,2.0
3.0,4.0,1.0,1.7142857142857144,0.0,0.0,1.0,2.0,4.0,2.0
3.0,4.0,1.0,3.0,2.0,0.0,1.0,1.0,4.0,2.0
3.0,4.0,4.0,3.0,1.0,0.705882352941209,1.0,1.0,4.0,0.0
3.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,4.0,0.0
3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0
0.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,0.0
3.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
3.0,4.0,1.0,3.0,2.0,0.0,1.0,2.0,3.0,1.0
3.0,4.0,3.0,3.0,2.0,0.0,1.0,1.0,3.0,2.0
3.0,4.0,2.0,1.4285714285713962,2.0,3.0,1.0,1.0,3.0,2.0
3.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,3.764705882352947,2.0
3.0,4.0,1.0,1.0,4.0,0.0,1.0,0.0,4.0,1.9230769230769715
3.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0
3.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.5000000000000095
3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
0.10344827586216221,4.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0
3.0,4.0,3.0,1.0,4.0,3.0,4.0,0.0,3.4117647058823652,2.0
0.0,2.0,3.0,2.0,4.0,0.0,1.0,4.0,3.0,0.0
1.0,0.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0
1.0,4.0,3.0,1.0,4.0,0.0,1.0,0.0,1.0,3.0
1.0,2.0,1.0,1.0,3.0,0.0,3.0,2.0,1.0,3.0
1.0,2.0,3.0,1.0,3.0,0.0,3.0,2.0,1.0,1.0
0.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0
3.0,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,0.0
3.0344827586205065,3.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,0.0
0.0,0.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,0.0
1.0,3.0,4.0,2.0,1.0,1.0,3.7142857142857015,2.0,4.0,2.0
3.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0
3.0,3.0,1.0000000000000255,2.0,1.0,2.14285714285717,3.0,1.0,3.0,0.0
3.0,3.0,3.0000000000000124,2.0,1.0,2.0,3.0,1.0,4.0,2.0
0.0,3.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0
3.0,3.0,3.5,3.999999999999993,3.7500000000000013,1.0,4.0,4.0,4.0,0.0
1.307692307692307,3.0,3.0,1.0,1.0,3.0,3.0,2.0,4.0,0.0
3.0,3.0,1.0,1.0,1.0,1.5714285714285983,3.0,2.0,2.0,4.0
0.0,3.0,3.0,1.4654943925052066e-14,1.0,1.0,3.8888888888888884,0.8888888888888874,2.0,2.0
1.0,1.0,4.0,0.0,4.0,3.0,4.0,3.666666666666666,4.0,2.750000000000016
1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,4.0
2.7692307692307767,1.0,3.0,2.0,1.0,3.0,0.4444444444444444,2.0,3.0,4.0
4.0,1.0,4.0,4.0,3.666666666666661,0.0,1.0,1.7777777777777766,1.0,1.3333333333333226
0.0,4.0,0.0,2.0,2.0,0.0,3.0,4.0,1.0,2.0
3.0,2.6666666666666665,0.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0
3.0,0.0,2.0,3.9999999999999414,2.0,2.0,3.0,2.0,1.0,1.0
4.0,3.0,4.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0
4.0,0.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0
3.0,4.0,4.0,1.0,2.999999999999993,0.0,3.0,4.0,3.0,2.0
0.0,0.3749999999999929,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0
3.0,2.0,2.0,2.0,2.0,0.0,3.125000000000001,1.0,1.0,2.0
0.0,4.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0
4.0,0.0,0.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0
4.0,3.0,2.0,0.0,2.0,4.0,2.499999999999992,1.8181818181818061,1.0,1.6000000000000114
0.0,4.0,3.0,1.0,2.0,3.0,3.0,1.8181818181818064,1.0,1.0
0.0,0.0,4.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0
2.0,1.0,4.0,4.0,1.0,2.0,1.0,0.0,1.0,1.5999999999999883
3.0,2.0,4.0,1.0,2.0,3.0,1.052631578947368,4.0,1.0,1.0
3.0,3.624999999999973,4.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0
4.0,0.7499999999999922,4.0,4.0,1.0,4.0,2.0,0.0,1.0,1.1999999999999476
0.0,4.0,2.0,4.0,3.0,9.636735853746359e-14,1.5789473684210573,3.0,0.0,4.0
0.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0
4.0,0.0,2.0,4.0,3.0,2.0,0.0,3.0,2.0,2.0
4.0,0.0,2.0,4.0,3.0,1.0,0.0,3.0,2.0,2.0
4.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0
4.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.666666666666667
4.0,0.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0
0.0,0.0,2.0,0.0,3.0,1.1428571428571437,0.0,3.0,0.0,4.0
0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0
4.0,4.0,0.0,1.6363636363636187,0.0,1.7142857142857124,1.0,3.0,0.0,4.0
2.0,0.0,3.0,0.0,3.0,1.0,2.0,4.0,3.1764705882352944,4.0
2.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0,0.05882352941176471,2.0
3.0,0.0,2.0,1.0,0.0,1.4285714285714324,2.0,0.0,4.0,2.0
3.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,4.0,1.1428571428571457
3.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,4.0,0.0
3.0,4.0,4.0,2.0588235294117645,1.0,3.0,1.0,2.0,4.0,0.0
3.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,0.0
3.0,4.0,4.0,0.0,3.0,4.0,2.0,0.0,3.0,1.0
3.0,4.0,1.0,3.0,2.0,0.0,1.0,2.0,3.0,2.0
3.0,4.0,1.0,3.0,2.0,0.0,1.0,1.0,3.0,2.0
3.0,4.0,3.81818181818182,0.0,1.0,0.0,1.0,1.0,3.0,2.0
3.0,4.0,2.0,1.1764705882352942,0.0,1.0,2.0,2.0,4.0,2.0
3.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0
3.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,1.0
3.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0
4.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,1.8571428571428648,1.4285714285714286
0.13043478260871222,3.600000000000004,3.0,1.0,1.3846153846153932,1.0,1.0,4.0,3.0,0.0
1.0,0.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0
1.0,4.0,3.0,1.0,4.0,0.0,1.0,0.0,1.0,3.0
1.0,2.0,1.0,1.0,3.0,0.0,3.0,2.0,1.0,1.0
0.0,2.0,3.0,3.0,3.076923076923096,0.0,2.4545454545454684,0.0,3.0,0.0
3.0,0.5999999999999878,3.0,2.0,1.6923076923077152,0.0,3.0,2.0,4.0,0.0
4.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0
0.0,3.0,1.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0
3.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0
3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,2.0
3.0,3.0,3.0,2.0,1.0,3.0,1.3636363636363396,1.499999999999997,4.0,2.0
1.3636363636363626,3.0,1.0,2.0,4.0,2.0,4.0,1.0,1.0,0.0
3.636363636363626,3.0,3.0,0.0,1.0,3.0,3.0,1.0,2.0,1.4545454545454617
3.0,1.0,3.0,1.4000000000000015,1.0,1.0,3.0,2.0,4.0,4.0
0.5454545454545592,0.0,1.0,1.6000000000000045,1.0,3.0,4.0,2.0,3.4000000000000092,0.0
1.0,1.0,4.0,0.0,1.0,1.0,4.0,2.0,2.0,4.0
1.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,0.0
0.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0
0.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0
3.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0,1.0,2.0
3.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0
4.0,3.0,4.0,4.0,4.0,2.0,0.0,0.0,1.0,2.0
4.0,0.0,4.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0
3.0,4.0,4.0,1.0,2.999999999999993,0.0,3.0,4.0,4.0,2.0
1.4736842105263182,3.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0
3.0,4.0,2.0,2.0,2.0,0.0,3.125000000000001,1.0,1.0,2.0
3.0,4.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0
2.3157894736841853,0.0,0.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0
3.0,1.8823529411764344,2.0,0.0,2.0,4.0,2.499999999999992,1.8181818181818061,1.0,2.0
0.0,4.0,3.0,1.0,2.0,3.0,3.0,1.8181818181818064,1.0,1.0
0.0,4.0,4.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0
0.0,3.0,4.0,4.0,1.0,2.0,1.0,0.0,1.0,2.0
4.0,3.0,4.0,1.0,2.0,3.0,1.899999999999998,4.0,1.0,0.0
3.0,2.0,4.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0
0.0,0.0,4.0,4.0,1.0,4.0,2.0,0.0,3.0,2.0
0.0,1.4117647058822946,2.0,4.0,3.0,9.636735853746359e-14,0.0,3.0,1.0,0.0
0.0,4.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0
0.0,0.0,2.0,4.0,3.0,2.0,0.799999999999957,3.0,0.0,1.0
4.0,0.0,2.0,4.0,3.0,1.0,0.0,3.0,2.0,2.0
4.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,2.0,2.0
4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
4.0,3.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0
4.0,0.0,2.0,0.0,3.0,1.1428571428571437,0.0,3.0,0.0,2.0
0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0
0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0
0.0,0.0,0.0,1.6363636363636187,0.0,1.7142857142857124,0.0,3.0,0.0,0.0
4.0,4.0,3.0,0.0,3.0,1.0,1.0,4.0,0.0,1.0
2.0,0.0,2.0,0.0,3.0,3.0,2.0,2.0,3.1764705882352944,4.0
2.0,0.0,2.0,2.666666666666668,0.0,1.4285714285714324,0.0,0.0,0.05882352941176471,4.0
3.0,0.0,1.0,0.6666666666666641,1.0,0.0,2.0,1.0,4.0,2.0
3.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,4.0,2.0
3.0,4.0,4.0,3.0,1.0,3.0,1.0,2.0,4.0,1.1428571428571457
3.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,0.0
3.0,4.0,4.0,2.0,3.0,4.0,1.0,1.5294117647058836,4.0,0.0
1.2499999999999705,4.0,1.0,1.1666666666666505,2.0,0.0,2.0,0.0,3.0,0.0
3.0,4.0,1.0,3.0,2.0,0.0,1.0,1.0,3.0,1.0
3.0,4.0,3.81818181818182,3.0,1.0,0.0,1.0,1.0,3.0,2.0
3.0,4.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0
3.0,4.0,1.0,2.0,1.0,3.0,2.0,0.0,3.0,2.0
3.0,4.0,1.0,3.0,1.0,0.0,1.0,1.0,4.0,2.0
3.0,4.0,4.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0
3.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0
3.0,4.0,3.0,2.0,1.3846153846153932,1.0,2.0,0.0,3.0,1.0
3.0,4.0,3.0,1.6666666666666665,1.0,3.0,4.0,4.0,1.8571428571428648,1.4285714285714286
0.0,2.0,3.0,3.0,4.0,0.0,1.0,2.0,3.0,0.0
1.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,3.0
1.0,4.0,3.0,1.0,3.076923076923096,0.0,1.0,2.0,1.0,3.0
1.0,2.0,3.0,3.0,1.6923076923077152,0.0,3.0,0.0,1.0,1.0
